Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Season
2011-11-19,Swansea,Man United,A,0,1,9,13,6,7,6,2,6,9,0,1,0,0,6.5,4.2,1.5,2011-2012
2011-11-19,West Brom,Bolton,H,2,1,16,8,9,6,7,5,12,12,1,0,0,0,2,3.4,3.8,2011-2012
2011-11-19,Wigan,Blackburn,D,3,3,21,6,11,2,7,3,14,13,2,3,0,1,2.5,3.25,2.88,2011-2012
2011-11-20,Chelsea,Liverpool,A,1,2,18,9,5,3,6,5,13,11,3,2,0,0,1.83,3.5,4.5,2011-2012
2011-11-21,Tottenham,Aston Villa,H,2,0,20,5,9,1,11,3,4,5,0,2,0,0,1.57,4,6,2011-2012
2011-11-26,Arsenal,Fulham,D,1,1,20,10,12,6,13,4,9,7,1,3,0,0,1.44,4.2,8,2011-2012
2011-11-26,Bolton,Everton,A,0,2,8,17,7,14,2,4,9,10,1,1,1,0,3.1,3.25,2.38,2011-2012
2011-11-26,Chelsea,Wolves,H,3,0,17,7,11,2,9,2,10,10,1,2,0,0,1.22,6,15,2011-2012
2011-11-26,Man United,Newcastle,D,1,1,23,8,13,6,11,3,12,15,1,4,0,1,1.4,4.5,8.5,2011-2012
2011-11-26,Norwich,QPR,H,2,1,15,13,8,4,6,4,15,7,1,0,0,0,2.1,3.4,3.5,2011-2012
2011-11-26,Stoke,Blackburn,H,3,1,8,16,5,12,2,6,10,5,0,0,0,0,1.83,3.5,4.5,2011-2012
2011-11-26,Sunderland,Wigan,A,1,2,17,7,11,4,3,2,12,13,3,1,0,0,1.67,3.6,5.5,2011-2012
2011-11-26,West Brom,Tottenham,A,1,3,9,23,5,14,1,10,11,13,2,1,0,0,4,3.6,1.91,2011-2012
2011-11-27,Liverpool,Man City,D,1,1,17,7,9,3,8,5,11,13,1,4,0,1,2.75,3.2,2.63,2011-2012
2011-11-27,Swansea,Aston Villa,D,0,0,6,9,2,4,4,6,9,17,3,4,0,0,2.2,3.25,3.4,2011-2012
2011-12-03,Aston Villa,Man United,A,0,1,7,11,3,5,5,5,4,11,0,0,0,0,5,3.6,1.73,2011-2012
2011-12-03,Blackburn,Swansea,H,4,2,14,10,9,5,3,4,12,13,1,1,0,1,2.1,3.4,3.5,2011-2012
2011-12-03,Man City,Norwich,H,5,1,21,5,16,2,12,4,8,7,0,1,0,0,1.17,7,17,2011-2012
2011-12-03,Newcastle,Chelsea,A,0,3,16,21,9,13,6,5,7,6,2,3,0,0,3.5,3.4,2.1,2011-2012
2011-12-03,QPR,West Brom,D,1,1,14,15,4,10,3,5,7,9,0,3,0,0,2.25,3.3,3.25,2011-2012
2011-12-03,Tottenham,Bolton,H,3,0,25,13,16,9,7,6,10,5,0,2,0,1,1.3,5,12,2011-2012
2011-12-03,Wigan,Arsenal,A,0,4,7,16,4,10,4,5,8,12,3,2,0,0,6,4,1.57,2011-2012
2011-12-04,Everton,Stoke,A,0,1,11,7,4,4,10,6,14,13,0,1,0,0,1.67,3.6,5.5,2011-2012
