Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Win_Bet365_Odds,Draw_Bet365_Odds,Away_Win_Bet365_Odds,Home_Win_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Win_Pinnacle_Odds,Season
2015-10-31,West Brom,Leicester,A,2,3,14,13,6,5,6,4,3,11,0,2,0,0,2.9,3.4,2.6,2.97,3.38,2.58,2015-2016
2015-11-01,Everton,Sunderland,H,6,2,15,17,8,9,6,1,6,5,3,2,0,0,1.5,4.5,7.5,1.48,4.7,7.5,2015-2016
2015-11-01,Southampton,Bournemouth,H,2,0,11,16,2,2,4,6,5,5,0,2,1,0,1.55,4.33,6.5,1.53,4.41,7.22,2015-2016
2015-11-02,Tottenham,Aston Villa,H,3,1,17,13,6,2,4,3,6,15,0,3,0,0,1.44,4.75,8,1.4,5.09,9.32,2015-2016
2015-11-07,Bournemouth,Newcastle,A,0,1,20,2,5,1,16,0,9,11,2,2,0,0,2.25,3.5,3.4,2.22,3.62,3.4,2015-2016
2015-11-07,Leicester,Watford,H,2,1,12,8,6,4,4,2,10,10,0,1,0,0,1.85,3.8,4.5,1.93,3.71,4.34,2015-2016
2015-11-07,Man United,West Brom,H,2,0,13,4,3,0,5,1,11,10,1,3,0,1,1.33,5.25,12,1.36,5.1,11.15,2015-2016
2015-11-07,Norwich,Swansea,H,1,0,9,8,5,0,5,2,12,7,1,0,0,0,2.45,3.4,3.1,2.54,3.43,2.99,2015-2016
2015-11-07,Stoke,Chelsea,H,1,0,8,19,2,4,1,9,13,10,3,1,0,0,3.8,3.6,2.05,4.53,3.66,1.9,2015-2016
2015-11-07,Sunderland,Southampton,A,0,1,9,11,3,4,10,11,3,7,1,3,0,0,4.75,3.8,1.8,4.7,4,1.79,2015-2016
2015-11-07,West Ham,Everton,D,1,1,16,13,5,4,3,5,11,12,1,2,0,0,2.6,3.5,2.8,2.45,3.59,2.99,2015-2016
2015-11-08,Arsenal,Tottenham,D,1,1,10,14,4,4,7,6,12,17,0,1,0,0,1.73,4,5,1.8,3.96,4.72,2015-2016
2015-11-08,Aston Villa,Man City,D,0,0,3,13,0,3,3,8,7,7,1,1,0,0,7.5,5,1.44,8.55,5.05,1.42,2015-2016
2015-11-08,Liverpool,Crystal Palace,A,1,2,22,9,4,4,14,6,7,6,1,2,0,0,1.67,3.8,6,1.64,3.92,6.51,2015-2016
2015-11-21,Chelsea,Norwich,H,1,0,21,4,7,2,6,5,4,12,1,4,0,0,1.4,5,9,1.41,5.03,8.82,2015-2016
2015-11-21,Everton,Aston Villa,H,4,0,16,10,9,3,2,3,6,9,0,0,0,0,1.57,4.2,6.5,1.72,4.01,5.31,2015-2016
2015-11-21,Man City,Liverpool,A,1,4,11,14,3,9,11,5,5,13,0,3,0,0,1.7,4,5.5,1.89,3.72,4.48,2015-2016
2015-11-21,Newcastle,Leicester,A,0,3,9,18,1,7,4,9,9,12,4,1,0,0,2.88,3.6,2.5,2.94,3.57,2.5,2015-2016
2015-11-21,Southampton,Stoke,A,0,1,16,16,1,4,7,3,8,8,2,0,0,0,1.57,4,7,1.68,3.87,5.98,2015-2016
2015-11-21,Swansea,Bournemouth,D,2,2,11,16,4,4,4,5,7,9,3,2,0,0,1.91,3.6,4.5,2.24,3.37,3.61,2015-2016
2015-11-21,Watford,Man United,A,1,2,10,13,5,6,4,10,6,12,1,2,0,0,4.33,3.4,2,4.02,3.38,2.1,2015-2016
2015-11-21,West Brom,Arsenal,H,2,1,4,11,1,3,3,5,14,10,3,2,0,0,7,4.33,1.53,6.11,4.28,1.6,2015-2016
2015-11-22,Tottenham,West Ham,H,4,1,22,10,12,4,7,6,13,9,2,2,0,0,1.57,4.2,6.5,1.58,4.32,6.44,2015-2016
2015-11-23,Crystal Palace,Sunderland,A,0,1,19,12,7,4,11,2,18,11,1,3,0,0,1.57,4,7,1.55,4.52,6.6,2015-2016
2015-11-28,Aston Villa,Watford,A,2,3,12,14,6,6,10,10,6,13,2,3,0,0,2.75,3.3,2.8,2.76,3.27,2.84,2015-2016
2015-11-28,Bournemouth,Everton,D,3,3,19,11,10,6,10,5,6,6,2,0,0,0,2.9,3.6,2.5,2.65,3.66,2.7,2015-2016
2015-11-28,Crystal Palace,Newcastle,H,5,1,19,7,8,2,7,5,7,13,1,1,0,0,1.7,3.9,5.5,1.71,4.1,5.17,2015-2016
2015-11-28,Leicester,Man United,D,1,1,7,10,3,2,1,8,5,7,0,1,0,0,3.1,3.5,2.4,3.26,3.49,2.34,2015-2016
2015-11-28,Man City,Southampton,H,3,1,16,12,9,8,6,4,14,11,2,1,0,0,1.6,4.33,6,1.57,4.4,6.37,2015-2016
2015-11-28,Sunderland,Stoke,H,2,0,18,7,5,3,9,5,4,10,0,2,0,1,3.2,3.3,2.45,3.05,3.26,2.59,2015-2016
2015-11-29,Liverpool,Swansea,H,1,0,10,8,2,0,8,7,12,6,3,1,0,0,1.44,4.75,8,1.48,4.55,7.95,2015-2016
2015-11-29,Norwich,Arsenal,D,1,1,7,12,2,3,3,6,8,6,1,1,0,0,6,4.2,1.62,6.5,4.41,1.56,2015-2016
2015-11-29,Tottenham,Chelsea,D,0,0,9,5,4,1,4,4,14,9,4,2,0,0,2.6,3.4,2.9,2.66,3.39,2.86,2015-2016
2015-11-29,West Ham,West Brom,D,1,1,17,7,6,3,5,2,15,16,0,2,0,0,2.05,3.5,4,2.13,3.35,3.96,2015-2016
2015-12-05,Arsenal,Sunderland,H,3,1,16,11,7,4,3,2,7,11,1,1,0,0,1.29,6,13,1.29,6.53,11.18,2015-2016
2015-12-05,Chelsea,Bournemouth,A,0,1,19,15,6,5,11,4,10,13,2,1,0,0,1.36,5.25,9.5,1.43,4.79,9.04,2015-2016
2015-12-05,Man United,West Ham,D,0,0,21,9,1,2,6,2,9,13,1,0,0,0,1.44,4.5,9,1.46,4.68,8.18,2015-2016
2015-12-05,Southampton,Aston Villa,D,1,1,23,9,5,2,10,4,4,9,1,2,0,0,1.5,4.5,7.5,1.5,4.55,7.4,2015-2016
2015-12-05,Stoke,Man City,H,2,0,7,11,4,4,1,6,9,10,0,1,0,0,5.25,4,1.7,5.21,3.94,1.74,2015-2016
2015-12-05,Swansea,Leicester,A,0,3,10,16,2,5,3,8,3,19,2,3,0,0,2.7,3.4,2.75,2.55,3.33,3.06,2015-2016
2015-12-05,Watford,Norwich,H,2,0,14,6,7,1,4,1,11,10,3,3,0,0,2.15,3.5,3.6,2.35,3.43,3.3,2015-2016
2015-12-05,West Brom,Tottenham,D,1,1,11,9,4,3,3,6,13,10,3,2,0,0,4.75,3.6,1.85,4.8,3.86,1.81,2015-2016
2015-12-06,Newcastle,Liverpool,H,2,0,6,10,1,1,2,7,6,10,3,1,0,0,5.75,4.33,1.62,6.4,4.48,1.56,2015-2016
2015-12-07,Everton,Crystal Palace,D,1,1,19,14,4,5,13,6,4,11,1,2,0,0,2.1,3.6,3.75,2.14,3.43,3.83,2015-2016
2015-12-12,Bournemouth,Man United,H,2,1,11,11,5,5,5,7,12,12,2,1,0,0,3.4,3.4,2.3,3.3,3.27,2.43,2015-2016
2015-12-12,Crystal Palace,Southampton,H,1,0,12,15,5,3,8,5,11,13,0,0,0,0,2.6,3.3,3,2.45,3.41,3.14,2015-2016
2015-12-12,Man City,Swansea,H,2,1,13,13,5,7,5,5,13,15,3,1,0,0,1.3,6,11,1.35,5.6,9.65,2015-2016
2015-12-12,Norwich,Everton,D,1,1,9,15,2,3,5,4,9,6,1,0,0,0,2.9,3.5,2.55,3.16,3.48,2.4,2015-2016
2015-12-12,Sunderland,Watford,A,0,1,14,13,2,6,8,3,6,9,1,0,0,0,2.9,3.3,2.63,2.81,3.31,2.76,2015-2016
2015-12-12,West Ham,Stoke,D,0,0,22,12,9,3,11,7,7,9,1,2,0,0,2.63,3.3,2.9,2.59,3.25,3.07,2015-2016
2015-12-13,Aston Villa,Arsenal,A,0,2,18,8,2,4,5,5,8,7,0,0,0,0,6.5,4.2,1.57,6.5,4.39,1.56,2015-2016
2015-12-13,Liverpool,West Brom,D,2,2,28,4,8,2,4,4,7,10,0,0,0,0,1.4,4.75,10,1.44,4.7,8.95,2015-2016
2015-12-13,Tottenham,Newcastle,A,1,2,20,8,8,4,6,2,13,14,2,2,0,0,1.36,5.5,9,1.37,5.54,9.01,2015-2016
2015-12-14,Leicester,Chelsea,H,2,1,9,11,5,5,1,8,16,8,2,0,0,0,3.2,3.5,2.35,3.52,3.52,2.21,2015-2016
2015-12-19,Chelsea,Sunderland,H,3,1,17,11,7,3,2,2,12,12,1,3,0,0,1.33,5.25,12,1.32,5.99,10.8,2015-2016
2015-12-19,Everton,Leicester,A,2,3,13,10,5,5,10,2,6,14,2,1,0,0,2.1,3.75,3.6,2.05,3.78,3.73,2015-2016
2015-12-19,Man United,Norwich,A,1,2,11,6,2,4,11,0,4,10,0,2,0,0,1.45,4.5,8.5,1.43,4.85,8.75,2015-2016
2015-12-19,Newcastle,Aston Villa,D,1,1,8,10,4,7,3,7,9,14,1,3,0,0,2.05,3.5,4,2.01,3.55,4.15,2015-2016
2015-12-19,Southampton,Tottenham,A,0,2,11,13,4,6,4,7,18,9,1,1,0,0,2.7,3.4,2.8,2.72,3.33,2.85,2015-2016
